"id";"name";"suburb";"phone";"fax";"email";"createdAt";"updatedAt"
40;"Rural City of Murray Bridge";"MURRAY BRIDGE ";"8539 1100";"8532 2766";"j.daniels@rcmb.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
41;"Naracoorte Lucindale Council";"NARACOORTE ";"8762 2133";"8762 3139";"council@nlc.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
42;"Northern Areas Council";"JAMESTOWN ";"8664 1139";"8664 1085";"ceo@nacouncil.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
43;"City of Norwood Payneham & St Peters";"KENT TOWN ";"8366 4555";"8332 6338";"townhall@npsp.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
44;"City of Onkaparinga";"NOARLUNGA CENTRE ";"8384 0666";"8382 8744";"mail@onkaparinga.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
45;"THE DC OF Orroroo Carrieton";"ORROROO ";"8658 1260";"8658 1434";"karen.freeman@orroroo.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
46;"THE DC OF Peterborough";"PETERBOROUGH ";"8651 3566";"8651 3066";"council@peterborough.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
47;"City of Playford";"DAVOREN PARK ";"8256 0333";"8256 0578";"playford@playford.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
48;"City of Port Adelaide Enfield";"PORT ADELAIDE ";"8405 6600";"";"customer.service@portenf.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
49;"City of Port Augusta";"PORT AUGUSTA ";"8641 9100";"8641 0357";"admin@portaugusta.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
50;"City of Port Lincoln";"PORT LINCOLN ";"86212300";"8621 2399";"plcc@plcc.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
51;"Port Pirie Regional Council";"PORT PIRIE ";"8633 9777";"8632 5801";"council@pirie.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
52;"City of Prospect";"PROSPECT ";"8269 5355";"8269 5834";"admin@prospect.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
53;"Renmark Paringa Council";"RENMARK ";"8580 3000";"8580 3030";"council@renmarkparinga.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
54;"THE DC OF Robe";"ROBE ";"8768 2003";"8768 2432";"council@robe.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
55;"Municipal Council of Roxby Downs";"ROXBY DOWNS ";"8671 0010";"8671 0452";"roxby@roxbycouncil.com.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
56;"City oflisbury";"SALISBURY ";"8406 8222";"8281 5466";"city@salisbury.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
57;"Southern Mallee District Council";"PINNAROO ";"8577 8002";"8577 8443";"council@southernmallee.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
58;"THE DC OF Streaky Bay";"STREAKY BAY ";"8626 1001";"8626 1196";"dcstreaky@streakybay.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
59;"Tatiara District Council";"BORDERTOWN ";"8752 1044";"8752 1442";"office@tatiara.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
60;"City of Tea Tree Gully";"MODBURY ";"8397 7444";"8397 7400";"cttg@cttg.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
61;"THE DC OF Tumby Bay";"TUMBY BAY ";"8688 2101";"8688 2639";"dctumby@tumbybay.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
62;"City of Unley";"UNLEY ";"8372 5111";"8271 4886";"pobox1@unley.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
63;"City of Victor Harbor";"VICTOR HARBOR ";"8551 0500";"8551 0501";"localgov@victor.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
64;"Wakefield Regional Council";"BALAKLAVA ";"8862 0800";"8862 1115";"admin@wakefieldrc.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
65;"Corporation of the Town of Walkerville";"WALKERVILLE ";"8342 7100";"8269 7820";"walkerville@walkerville.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
66;"Wattle Range Council";"MILLICENT ";"8733 0900";"8733 4999";"council@wattlerange.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
67;"City of West Torrens";"HILTON ";"8416 6333";"8443 5709";"csu@wtcc.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
68;"The City of Whyalla";"WHYALLA ";"8640 3444";"8645 0155";"council@whyalla.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
69;"Wudinna District Council";"WUDINNA ";"8680 2002";"8680 2296";"admin@wudinna.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
70;"THE DC OF Yankalilla";"YANKALILLA ";"8558 0200";"8558 2022";"council@yankalilla.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
71;"Yorke Peninsula Council";"MINLATON ";"8832 0000";"8853 2494";"admin@yorke.sa.gov.au";"2016-01-11 06:17:00";"2016-01-11 06:17:00"
